date,name of team1,counts of team1,name of team2,counts of team2,positive percentage of team 1,negative percentage of team1,neutral percentage of team 1,positive percentage of team 2,negative percentage of team 2,neutral percentage of team 2,Result team 1,Result team 2 ,percentageofcounts_1,percentageofcounts_2,positive_1,negative_1,neutral_1,positive_2,negative_2,neutral_2,result
1130,Wizards,195,76ers,276,38.461538%,35.897436%,25.641026%,48.550725%,36.956522%,14.492754%,98,123,0.414012739,-0.585987261,0.38461538,-0.35897436,0.25641026,-0.48550725,0.36956522,0.14492754,0
1130,Jazz,308,Hornets,220,26.623377%,38.311688%,35.064935%,33.636364%,24.545455%,41.818182%,119,111,0.583333333,-0.416666667,0.26623377,-0.38311688,0.35064935,-0.33636364,0.24545455,0.41818182,1
1130,Grizzlies,86,Nets,316,46.511628%,36.046512%,17.441860%,36.075949%,26.582278%,37.341772%,131,125,0.213930348,-0.786069652,0.46511628,-0.36046512,0.1744186,-0.36075949,0.26582278,0.37341772,1
1130,Hawks,46,Thunder,104,58.695652%,2.173913%,39.130435%,39.423077%,2.884615%,57.692308%,109,124,0.306666667,-0.693333333,0.58695652,-0.02173913,0.39130435,-0.39423077,0.02884615,0.57692308,0
1130,Pelicans,46,Heat,86,69.565217%,10.869565%,19.565217%,46.511628%,22.093023%,31.395349%,101,106,0.348484848,-0.651515152,0.69565217,-0.10869565,0.19565217,-0.46511628,0.22093023,0.31395349,0
1130,Rockets,325,Spurs,317,14.769231%,3.692308%,81.538462%,14.195584%,3.154574%,82.649842%,136,105,0.50623053,-0.49376947,0.14769231,-0.03692308,0.81538462,-0.14195584,0.03154574,0.82649842,1
1130,Magic,64,Suns,19,67.187500%,7.812500%,25.000000%,63.157895%,10.526316%,26.315789%,99,85,0.771084337,-0.228915663,0.671875,-0.078125,0.25,-0.63157895,0.10526316,0.26315789,1
1130,Nuggets,32,Trail Blazers,0,31.250000%,6.250000%,62.500000%,0.000000%,0.000000%,0.000000%,113,112,1,0,0.3125,-0.0625,0.625,0,0,0,1
1130,Mavericks,12,Lakers,401,41.666667%,0.000000%,58.333333%,46.384040%,12.718204%,40.897756%,103,114,0.02905569,-0.97094431,0.41666667,0,0.58333333,-0.4638404,0.12718204,0.40897756,0
1201,Bucks,237,Knicks,349,51.054852%,12.658228%,36.286920%,46.418338%,12.320917%,41.260745%,134,136,0.40443686,-0.59556314,0.51054852,-0.12658228,0.3628692,-0.46418338,0.12320917,0.41260745,0
1201,Nets,63,Wizards,39,47.619048%,9.523810%,42.857143%,17.948718%,15.384615%,66.666667%,88,102,0.617647059,-0.382352941,0.47619048,-0.0952381,0.42857143,-0.17948718,0.15384615,0.66666667,0
1201,Warriors,143,Pistons,66,28.671329%,22.377622%,48.951049%,21.212121%,34.848485%,43.939394%,102,111,0.684210526,-0.315789474,0.28671329,-0.22377622,0.48951049,-0.21212121,0.34848485,0.43939394,0
